iter	Passed	Remaining
0	153	767733
1	182	457095
2	206	343914
3	244	304880
4	273	273266
5	307	256175
6	349	249260
7	370	231256
8	396	219692
9	420	209867
10	443	200924
11	461	191717
12	482	185265
13	502	178918
14	531	176494
15	557	173610
16	586	171971
17	617	170894
18	651	170901
19	683	170306
20	707	167736
21	734	166131
22	757	163914
23	783	162429
24	810	161263
25	844	161598
26	874	160987
27	902	160288
28	931	159716
29	962	159373
30	986	158181
31	1013	157390
32	1035	155885
33	1060	154934
34	1085	153986
35	1109	153020
36	1137	152605
37	1161	151680
38	1185	150813
39	1211	150239
40	1238	149805
41	1272	150214
42	1297	149580
43	1327	149502
44	1351	148846
45	1385	149246
46	1413	148958
47	1445	149083
48	1471	148650
49	1479	146494
50	1505	146105
51	1529	145533
52	1562	145840
53	1589	145611
54	1620	145719
55	1650	145705
56	1678	145576
57	1702	145025
58	1726	144577
59	1756	144589
60	1785	144575
61	1818	144845
62	1844	144523
63	1871	144342
64	1914	145322
65	1949	145716
66	1983	146012
67	2013	146061
68	2049	146481
69	2073	146030
70	2099	145744
71	2124	145395
72	2161	145873
73	2194	146079
74	2228	146368
75	2258	146334
76	2289	146363
77	2318	146318
78	2346	146187
79	2387	146813
80	2415	146696
81	2446	146746
82	2485	147228
83	2514	147129
84	2540	146896
85	2560	146296
86	2585	146018
87	2611	145787
88	2643	145842
89	2677	146063
90	2731	147368
91	2777	148166
92	2813	148455
93	2851	148798
94	2893	149401
95	2928	149579
96	2954	149333
97	2981	149115
98	2995	148272
99	3022	148106
100	3046	147771
101	3080	147930
102	3116	148146
103	3151	148355
104	3178	148180
105	3200	147750
106	3221	147320
107	3243	146904
108	3271	146782
109	3299	146677
110	3327	146575
111	3352	146329
112	3373	145917
113	3401	145790
114	3425	145502
115	3453	145385
116	3480	145277
117	3489	144360
118	3516	144251
119	3535	143777
120	3558	143477
121	3584	143327
122	3610	143163
123	3623	142466
124	3647	142261
125	3673	142099
126	3688	141538
127	3712	141298
128	3739	141192
129	3764	141040
130	3793	140993
131	3819	140854
132	3840	140542
133	3865	140364
134	3879	139817
135	3908	139787
136	3938	139787
137	3965	139715
138	3990	139547
139	4015	139400
140	4047	139483
141	4075	139435
142	4103	139377
143	4132	139340
144	4155	139147
145	4180	138988
146	4207	138906
147	4233	138796
148	4263	138794
