FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,SIGNGU_NM,WCHAIR_HOLD_AT,DSPSN_TOILET_AT,DSPSN_PRKPLCE_AT,GUID_DOG_ACP_POSBL_AT,BRLL_GUID_AT,KLANG_VIC_GUID_AT,PARKNG_AT,FCLTY_ID,TRAVEL_ID,DGSTFN,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_COMPANIONS_NUM
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h000009,5.0,남,40,3,2,3,3,3,5,2,6,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h000172,5.0,남,20,3,3,2,5,2,3,2,6,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h000203,5.0,남,20,2,1,1,4,6,4,2,6,3
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h000233,5.0,여,30,2,1,2,1,5,3,3,7,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h000263,5.0,여,40,4,2,2,2,4,4,4,4,2
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h000456,5.0,여,30,1,4,4,4,2,4,2,4,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h000620,5.0,남,20,2,2,1,4,5,2,3,5,3
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h000707,5.0,여,20,3,3,3,2,4,3,5,6,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h000782,5.0,남,30,2,1,2,4,3,2,4,4,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h000826,5.0,여,30,4,3,4,2,3,4,6,4,1
9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,제주시,0,1,1,0,0,0,1,1,h_h000866,5.0,남,20,4,2,1,3,4,5,5,6,8
