TRAVEL_ID,GENDER,AGE_GRP,FCLTY_ID,FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,DGSTFN
h_h000009,남,40,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000172,남,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000203,남,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000233,여,30,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000263,여,40,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000456,여,30,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000620,남,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000707,여,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000782,남,30,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000826,여,30,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h000866,남,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h001034,여,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h001250,남,30,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,4.0
h_h001258,여,30,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,4.0
h_h001279,여,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h001451,여,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h001462,여,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,4.0
h_h001502,여,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h001570,여,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h001726,여,30,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h001752,남,30,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,2.0
h_h001919,여,30,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h002000,여,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,4.0
h_h002039,여,40,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,4.0
h_h002195,남,50,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,3.0
h_h002203,남,50,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h002291,여,40,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h002389,여,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h002476,남,40,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,3.0
h_h002592,남,50,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h002633,남,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h002656,여,30,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h002657,여,30,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h002713,여,50,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
h_h002768,여,50,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,4.0
h_h002842,여,20,1,9.81파크,문화관광/명소,관광지,테마공원/대형놀이공원,5.0
