iter	Passed	Remaining
0	71	359430
1	96	240999
2	203	338989
3	247	309305
4	274	274469
5	293	244449
6	317	226513
7	344	214871
8	373	206967
9	410	204785
10	441	200110
11	463	192493
12	491	188514
13	656	233953
14	704	234072
15	742	231363
16	791	231937
17	824	228182
18	851	223245
19	880	219266
20	926	219657
21	966	218756
22	1059	229203
23	1129	234111
24	1176	234046
25	1202	230024
26	1224	225602
27	1253	222667
28	1294	221812
29	1337	221558
30	1361	218221
31	1413	219368
32	1452	218591
33	1508	220373
34	1585	224914
35	1635	225561
36	1679	225271
37	1757	229544
38	1796	228537
39	1844	228672
40	1898	229638
41	1933	228297
42	1981	228426
43	2011	226556
44	2038	224470
45	2065	222428
46	2091	220441
47	2115	218271
48	2137	216001
49	2147	212580
50	2175	211072
51	2200	209340
52	2228	207986
53	2264	207391
54	2301	206891
55	2323	205148
56	2343	203232
57	2364	201485
58	2384	199728
59	2411	198513
60	2435	197211
61	2460	195959
62	2486	194827
63	2510	193655
64	2539	192791
65	2570	192171
66	2601	191506
67	2629	190679
68	2656	189828
69	2678	188646
70	2702	187624
71	2731	186961
72	2757	186105
73	2784	185344
74	2811	184631
75	2844	184285
76	2877	183988
77	2909	183620
78	2943	183325
79	2974	182924
80	3005	182525
81	3039	182274
82	3069	181847
83	3101	181508
84	3135	181295
85	3152	180151
86	3178	179501
87	3207	179052
88	3244	179050
89	3281	179011
90	3320	179130
91	3353	178893
92	3387	178734
93	3422	178611
94	3459	178641
95	3499	178751
96	3535	178707
97	3570	178573
98	3586	177538
99	3620	177389
100	3660	177547
101	3700	177686
102	3739	177798
103	3774	177712
104	3808	177567
105	3836	177133
106	3872	177080
107	3902	176769
108	3943	176962
109	3967	176356
110	4008	176542
111	4036	176143
112	4056	175456
113	4077	174742
114	4097	174046
115	4118	173384
116	4139	172754
117	4148	171623
118	4170	171080
119	4191	170468
120	4214	169926
121	4235	169365
122	4262	168991
123	4277	168190
124	4300	167737
125	4324	167281
126	4337	166413
127	4369	166301
128	4401	166198
129	4431	166007
130	4463	165902
131	4493	165726
132	4538	166099
133	4563	165716
134	4588	165364
135	4618	165167
136	4642	164789
137	4672	164635
138	4705	164562
139	4726	164075
140	4755	163886
141	4776	163416
142	4806	163247
143	4839	163200
144	4862	162821
145	4884	162398
146	4909	162094
147	4939	161921
148	4971	161847
149	4984	161153
150	4998	160517
151	5031	160472
152	5067	160544
153	5100	160486
154	5136	160566
155	5172	160611
156	5205	160565
157	5261	161226
158	5277	160683
159	5323	161039
160	5352	160880
161	5381	160711
162	5411	160589
163	5446	160594
164	5458	159948
165	5483	159668
166	5506	159361
167	5539	159318
168	5557	158872
169	5580	158555
170	5604	158257
171	5627	157965
172	5648	157590
173	5668	157224
174	5691	156928
175	5712	156564
176	5731	156187
177	5759	156011
178	5767	155346
179	5797	155249
180	5821	154983
181	5845	154755
182	5874	154635
183	5903	154522
184	5926	154237
185	5933	153559
186	5950	153144
187	5969	152790
188	5980	152222
189	6003	151979
190	6034	151940
191	6066	151919
192	6093	151765
193	6117	151539
194	6141	151343
195	6172	151292
196	6209	151398
197	6237	151277
198	6263	151122
199	6289	150944
200	6311	150701
201	6336	150501
202	6365	150418
203	6400	150462
204	6412	149988
205	6438	149847
206	6472	149857
207	6510	149982
208	6542	149984
209	6578	150058
210	6617	150195
211	6648	150166
212	6686	150267
213	6722	150355
214	6753	150302
215	6790	150404
216	6824	150427
217	6861	150505
218	6896	150561
219	6927	150506
220	6963	150589
221	6996	150575
222	7009	150152
223	7041	150139
224	7077	150210
225	7109	150189
226	7143	150208
227	7180	150286
228	7208	150191
229	7234	150027
230	7269	150079
231	7310	150239
232	7336	150105
233	7369	150108
234	7405	150162
235	7439	150169
236	7480	150334
237	7520	150466
238	7553	150470
239	7567	150081
240	7600	150093
241	7632	150059
242	7669	150141
243	7701	150113
244	7734	150119
245	7769	150152
246	7802	150141
247	7838	150201
248	7874	150245
249	7906	150219
250	7935	150138
251	7972	150212
252	8016	150404
253	8053	150474
254	8084	150426
255	8107	150245
256	8133	150104
257	8158	149952
258	8183	149802
259	8207	149620
260	8230	149439
261	8252	149244
262	8277	149091
263	8300	148911
264	8325	148759
265	8356	148725
266	8395	148822
267	8431	148871
268	8469	148960
269	8506	149026
270	8539	149014
271	8573	149023
272	8604	148982
273	8641	149048
274	8676	149078
275	8708	149053
276	8741	149052
277	8778	149105
278	8803	148959
279	8830	148854
280	8855	148717
281	8878	148548
282	8906	148459
283	8937	148415
284	8967	148358
285	8992	148221
286	9018	148092
287	9046	148006
288	9073	147908
289	9095	147719
290	9117	147542
291	9145	147455
292	9171	147332
293	9197	147228
294	9227	147169
295	9260	147174
296	9284	147027
297	9318	147026
298	9344	146924
299	9370	146799
300	9400	146753
301	9430	146704
302	9463	146697
303	9498	146726
304	9527	146656
305	9551	146512
306	9576	146398
307	9611	146421
308	9646	146451
309	9685	146531
310	9712	146443
311	9740	146355
312	9777	146409
313	9813	146451
314	9847	146456
315	9878	146421
316	9914	146459
317	9945	146426
318	9976	146400
319	10008	146376
320	10037	146306
321	10068	146278
322	10099	146234
323	10124	146113
324	10164	146214
325	10198	146219
326	10233	146244
327	10256	146087
328	10285	146033
329	10314	145966
330	10342	145888
331	10369	145793
332	10393	145668
333	10421	145584
334	10452	145554
335	10490	145619
336	10526	145658
337	10557	145616
338	10586	145550
339	10619	145547
340	10660	145646
341	10692	145625
342	10728	145660
343	10761	145658
344	10793	145628
345	10821	145559
346	10852	145523
347	10886	145530
348	10913	145439
349	10945	145419
350	10971	145317
351	11001	145264
352	11029	145196
353	11061	145175
354	11091	145124
355	11116	145016
356	11145	144957
357	11174	144895
358	11456	148099
359	11606	149593
360	11690	150233
361	11713	150072
362	11734	149902
363	11770	149907
364	11800	149854
365	11825	149730
366	11859	149714
367	11891	149674
368	11913	149512
369	11934	149346
370	11959	149219
371	11982	149072
372	12005	148931
373	12030	148802
374	12051	148637
375	12075	148507
376	12099	148375
377	12125	148261
378	12148	148123
379	12174	148019
380	12195	147853
381	12219	147717
382	12242	147576
383	12261	147395
384	12282	147226
385	12304	147084
386	12333	147009
387	12359	146910
388	12384	146795
389	12406	146649
390	12427	146486
391	12451	146364
392	12476	146258
393	12504	146181
394	12540	146195
395	12570	146148
396	12601	146102
397	12627	146009
398	12652	145895
399	12673	145749
400	12695	145601
401	12717	145458
402	12744	145371
403	12773	145309
404	12796	145185
405	12820	145067
406	12854	145058
407	12884	145012
408	12919	145016
409	12948	144955
410	12975	144881
411	13008	144858
412	13033	144753
413	13062	144701
414	13095	144679
415	13128	144660
416	13157	144607
417	13185	144540
418	13217	144503
419	13242	144404
420	13337	145065
421	13589	147426
422	13660	147812
423	13691	147760
424	13717	147659
425	13790	148066
426	13813	147940
427	13851	147963
428	13873	147820
429	13898	147713
430	13917	147540
431	13942	147428
432	13967	147317
433	13991	147204
434	14013	147065
435	14033	146903
436	14059	146805
437	14095	146807
438	14117	146679
439	14142	146568
440	14162	146409
441	14187	146305
442	14214	146222
443	14243	146153
444	14277	146148
445	14309	146114
446	14343	146098
447	14376	146078
448	14405	146013
449	14441	146020
450	14468	145940
451	14502	145924
452	14528	145828
453	14558	145775
454	14587	145713
455	14619	145684
456	14652	145654
457	14686	145649
458	14717	145608
459	14754	145615
460	14781	145539
461	14819	145561
462	14854	145560
463	14880	145470
464	14911	145427
465	14940	145361
466	14973	145344
467	15005	145307
468	15038	145282
469	15069	145239
470	15101	145214
471	15130	145146
472	15157	145067
473	15180	144949
474	15204	144842
475	15234	144792
476	15277	144859
477	15306	144806
478	15345	144836
479	15385	144883
480	15422	144897
481	15456	144879
482	15495	144914
483	15538	144979
484	15574	144986
485	15605	144948
486	15635	144894
487	15655	144749
488	15674	144598
489	15695	144461
490	15714	144315
491	15734	144166
492	15753	144017
493	15771	143854
494	15790	143708
495	15808	143553
496	15827	143402
497	15844	143238
498	15861	143072
499	15884	142958
500	15901	142799
501	15919	142640
502	15935	142469
503	15951	142299
504	15967	142128
505	15984	141964
506	16000	141791
507	16016	141626
508	16041	141538
509	16060	141396
510	16081	141274
511	16101	141143
512	16120	140997
513	16139	140856
