iter	Passed	Remaining
0	73	367613
1	121	304199
2	170	284073
3	211	264606
4	251	251209
5	295	246240
6	331	236303
7	374	233970
8	412	228707
9	456	227723
10	492	223145
11	524	218162
12	557	213922
13	594	211669
14	629	209298
15	666	207544
16	706	206983
17	733	202979
18	776	203503
19	810	201877
20	848	201061
21	883	199905
22	924	199969
23	961	199389
24	1012	201522
25	1052	201410
26	1090	200764
27	1121	199077
28	1159	198803
29	1198	198469
30	1234	197898
31	1278	198448
32	1308	196930
33	1359	198564
34	1392	197568
35	1434	197799
36	1468	196942
37	1508	196937
38	1537	195542
39	1575	195415
40	1611	194958
41	1643	194061
42	1684	194166
43	1722	193997
44	1771	195071
45	1809	194826
46	1857	195716
47	1905	196619
48	1948	196883
49	1966	194723
50	2005	194594
51	2046	194767
52	2089	195010
53	2127	194853
54	2163	194555
55	2204	194656
56	2239	194226
57	2278	194178
58	2325	194761
59	2373	195456
60	2410	195178
61	2458	195782
62	2513	196943
63	2568	198091
64	2639	200362
65	2679	200333
66	2726	200715
67	2765	200544
68	2804	200434
69	2842	200163
70	2886	200422
71	2929	200507
72	2976	200886
73	3040	202426
74	3092	203051
75	3143	203649
76	3200	204652
77	3274	206637
78	3990	248567
79	4256	261770
80	4404	267504
81	4524	271346
82	4587	271751
83	4633	271152
84	4704	272025
85	4735	270576
86	4826	272579
87	4864	271536
88	4933	272246
89	4970	271162
90	5016	270616
91	5057	269830
92	5103	269278
93	5144	268473
94	5184	267668
95	5224	266892
96	5259	265842
97	5296	264916
98	5310	262893
99	5347	262003
100	5385	261206
101	5423	260427
102	5459	259548
103	5502	259061
104	5540	258289
105	5576	257453
106	5610	256543
107	5644	255684
108	5688	255245
109	5722	254387
110	5755	253488
111	5787	252571
112	5822	251807
113	5855	250952
114	5887	250100
115	5921	249317
116	5954	248527
117	5968	246913
118	6004	246303
119	6035	245439
120	6070	244768
121	6112	244417
122	6155	244087
123	6181	243077
124	6218	242515
125	6254	241955
126	6277	240857
127	6312	240287
128	6353	239906
129	6387	239277
130	6420	238628
131	6452	237962
132	6485	237344
133	6518	236710
134	6538	235639
135	6572	235066
136	6607	234531
137	6642	234018
138	6677	233510
139	6703	232708
140	6735	232112
141	6766	231485
142	6798	230921
143	6832	230406
144	6867	229930
145	6896	229282
146	6926	228666
147	6959	228146
148	6994	227736
149	7007	226576
150	7019	225400
151	7054	224989
152	7087	224524
153	7122	224140
154	7161	223852
155	7198	223534
156	7234	223161
157	7273	222898
158	7287	221876
159	7319	221402
160	7354	221033
161	7391	220751
162	7429	220459
163	7464	220122
164	7479	219168
165	7511	218743
166	7540	218230
167	7568	217673
168	7586	216876
169	7621	216544
170	7650	216038
171	7676	215483
172	7701	214881
173	7725	214279
174	7751	213716
175	7775	213124
176	7806	212703
177	7834	212242
178	7846	211336
179	7874	210855
180	7899	210307
181	7923	209746
182	7950	209266
183	7979	208846
184	8011	208511
185	8023	207671
186	8048	207153
187	8072	206619
188	8087	205864
189	8110	205315
190	8137	204874
191	8162	204402
192	8188	203943
193	8213	203469
194	8239	203029
195	8264	202570
196	8287	202053
197	8310	201541
198	8333	201061
199	8356	200566
200	8382	200127
201	8408	199712
202	8438	199408
203	8463	198971
204	8473	198191
205	8497	197762
206	8521	197301
207	8545	196882
208	8568	196420
209	8609	196373
210	8633	195955
211	8658	195540
212	8686	195214
213	8716	194937
214	8743	194587
215	8771	194276
216	8797	193916
217	8822	193535
218	8847	193149
219	8873	192804
220	8900	192466
221	8923	192061
222	8934	191387
223	8959	191022
224	8984	190660
225	9012	190387
226	9040	190086
227	9066	189751
228	9090	189382
229	9112	188985
230	9137	188651
231	9161	188291
232	9183	187887
233	9209	187571
234	9232	187208
235	9256	186851
236	9279	186493
237	9305	186182
238	9329	185838
