,FCLTY_NM,CTGRY_THREE_NM,WCHAIR_HOLD_AT,DSPSN_TOILET_AT,DSPSN_PRKPLCE_AT,GUID_DOG_ACP_POSBL_AT,BRLL_GUID_AT,KLANG_VIC_GUID_AT,PARKNG_AT,DGSTFN,GENDER,AGE_GRP,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_COMPANIONS_NUM
0,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,0,40,3,5,2,6,1
1,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,0,20,2,3,2,6,1
2,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,0,20,6,4,2,6,3
3,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,30,5,3,3,7,1
4,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,40,4,4,4,4,2
5,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,30,2,4,2,4,1
6,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,0,20,5,2,3,5,3
7,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,20,4,3,5,6,1
8,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,0,30,3,2,4,4,1
9,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,30,3,4,6,4,1
10,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,0,20,4,5,5,6,8
11,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,20,1,4,7,7,3
12,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,4.0,0,30,4,5,3,6,1
13,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,4.0,1,30,5,3,5,6,7
14,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,20,6,3,4,2,4
15,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,20,2,2,3,6,1
16,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,4.0,1,20,5,3,5,6,1
17,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,20,2,4,2,6,1
18,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,20,5,3,6,5,3
19,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,30,5,5,2,7,2
20,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,2.0,0,30,5,3,6,2,1
21,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,30,3,3,6,3,2
22,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,4.0,1,20,4,2,7,6,4
23,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,4.0,1,40,4,1,7,7,1
24,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,3.0,0,50,3,3,3,4,2
25,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,0,50,4,4,2,3,2
26,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,40,6,2,7,6,3
27,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,20,2,2,1,7,1
28,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,3.0,0,40,4,5,7,6,3
29,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,0,50,2,6,4,4,1
30,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,0,20,1,3,5,7,1
31,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,30,7,7,1,7,2
32,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,30,4,4,5,6,1
33,9.81파크,테마공원/대형놀이공원,0,1,1,0,0,0,1,5.0,1,50,6,3,7,4,2
