iter	Passed	Remaining
0	19	96852
1	40	100823
2	60	100863
3	82	103275
4	115	115542
5	138	115341
6	159	113510
7	183	114402
8	203	113014
9	225	112765
10	247	112456
11	268	111689
12	291	112004
13	314	112116
14	336	111875
15	359	111893
16	389	114246
17	418	115761
18	441	115855
19	468	116607
20	493	117002
21	524	118730
22	551	119354
23	576	119436
24	604	120306
25	631	120785
26	655	120664
27	682	121225
28	705	120899
29	729	120868
30	752	120613
31	783	121645
32	802	120792
33	830	121317
34	861	122192
35	886	122241
36	913	122484
37	937	122380
38	962	122405
39	985	122189
40	1012	122451
41	1040	122887
42	1063	122648
43	1092	123028
44	1114	122733
45	1139	122772
46	1167	122984
47	1194	123266
48	1218	123080
49	1229	121727
50	1256	121903
51	1280	121797
52	1310	122352
53	1337	122511
54	1363	122566
55	1395	123179
56	1418	123048
57	1442	122949
58	1467	122872
59	1493	122986
60	1513	122507
61	1534	122224
62	1556	121945
63	1578	121724
64	1600	121478
65	1621	121219
66	1643	120981
67	1663	120679
68	1690	120789
69	1709	120399
70	1730	120117
71	1750	119804
72	1771	119556
73	1794	119433
74	1826	119920
75	1847	119712
76	1875	119927
77	1898	119779
78	1920	119609
79	1942	119447
80	1962	119161
81	1983	118945
82	2003	118664
83	2026	118607
84	2054	118790
85	2068	118169
86	2091	118119
87	2110	117790
88	2133	117749
89	2156	117641
90	2178	117507
91	2202	117511
92	2226	117495
93	2251	117495
94	2277	117568
95	2300	117494
96	2327	117636
97	2355	117821
98	2364	117071
99	2391	117205
100	2414	117120
101	2437	117066
102	2463	117132
103	2484	116983
104	2511	117080
105	2536	117129
106	2555	116879
107	2580	116892
108	2607	116990
109	2635	117167
110	2661	117238
111	2685	117219
112	2711	117245
113	2737	117344
114	2764	117425
115	2790	117482
116	2820	117729
117	2831	117149
118	2860	117348
119	2883	117274
120	2909	117326
121	2942	117649
122	2980	118191
123	3000	117975
124	3036	118404
125	3073	118905
126	3094	118742
127	3129	119100
128	3161	119386
129	3192	119604
130	3230	120079
131	3270	120595
132	3303	120886
133	3331	120962
134	3348	120679
135	3383	120993
136	3416	121274
137	3453	121675
138	3486	121911
139	3511	121907
140	3539	121981
141	3573	122265
142	3611	122676
143	3645	122929
144	3677	123128
145	3710	123350
146	3745	123641
147	3780	123945
148	3819	124350
149	3836	124050
150	3851	123683
151	3891	124116
152	3927	124436
153	3966	124818
154	4002	125124
155	4042	125509
